"English","Welsh"
"Social Security and Child Support Tribunal parties and representatives will be informed directly as to the arrangements for hearing cases remotely. Any other person interested in joining the hearing remotely should contact the Social Security and Child Support Tribunal Office direct, in advance of the hearing date, by emailing (insert relevant office mailbox email address) so that arrangements can be made. The following details should be included in the subject line of the email [OBSERVER/MEDIA] REQUEST â [case reference] â [hearing date]. If the case is to be heard in private or is subject to a reporting restriction, this will be notified.","Bydd part'on a chynrychiolwyr y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant yn cael gwybod yn uniongyrchol am y trefniadau ar gyfer gwrando achosion o bell. Dylai unrhyw un arall sydd â diddordeb mewn ymuno 'r gwrandawiad o bell gysylltu â Swyddfa'r Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant yn uniongyrchol, cyn dyddiad y gwrandawiad, trwy e-bostio (insert relevant office mailbox email address) fel y gellir gwneud trefniadau. Dylai'r manylion canlynol gael eu cynnwys yn llinell pwnc yr e-bost [OBSERVER/MEDIA] REQUEST â [case reference] â [hearing date]. Os yw'r achos yn cael ei wrando yn breifat neu os yw'n destun cyfyngiad adrodd, bydd hyn yn cael ei nodi."
"Wales and South West First-tier Tribunal (Social Security and Child Support) Daily Hearing List DATE","Rhestr o Wrandawiadau Dyddiol Tribiwnlys Haen Gyntaf Cymru a De Orllewin Lloegr (Nawdd Cymdeithasol a Chynnal Plant) DATE"
"Midlands First-tier Tribunal (Social Security and Child Support) Daily Hearing List DATE","Rhestr o Wrandawiadau Dyddiol Tribiwnlys Haen Gyntaf Canolbarth Lloegr (Nawdd Cymdeithasol a Chynnal Plant) DATE"
"SSCS London Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS Llundain"
"SSCS North West Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS Gogledd Orllewin Lloegr"
"SSCS North East Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS Gogledd Ddwyrain Lloegr"
"SSCS Scotland Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS Yr Alban"
"SSCS Wales and South East Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS Cymru a De Ddwyrain Lloegr"
"SSCS South East Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS De Ddwyrain Lloegr"
"SSCS Midlands Daily Hearing List","Rhestr o Wrandawiadau Dyddiol SSCS Canolbarth Lloegr"
"South East First-tier Tribunal (Social Security and Child Support) Daily Hearing List","Rhestr o Wrandawiadau Dyddiol Tribiwnlys Haen Gyntaf De Ddwyrain Lloegr (Nawdd Cymdeithasol a Chynnal Plant)"
"Lewes Combined Court Centre","Canolfan Llysoedd Cyfun Lewes"
"Cambridge County Court and Family Court","Llys Sirol a Llys Teulu Caergrawnt"
"Cambridge Crown Court","Llys y Goron Caergrawnt"
"Peterborough Magistrates Court","Llys Ynadon Peterborough"
"Cambridge Magistrates Court","Llys Ynadon Caergrawnt"
"Stevenage Magistrates Court","Llys Ynadon Stevenage"
"Peterborough Combined Court Centre","Canolfan Llysoedd Cyfun Peterborough"
"Luton Justice Centre","Canolfan Gyfiawnder Luton"
"Luton and South Bedfordshire Magistrates' Court","Llys Ynadon Luton a De Swydd Bedford"
"Bedford County Court and Family Court","Llys Sirol a Llys Teulu Bedford"
"Stevenage Magistrates Court","Llys Ynadon Stevenage"
"Watford County Court and Family Court","Llys Sirol a Llys Teulu Watford"
"Hertford County Court and Family Court","Llys Sirol a Llys Teulu Hertford"
"Watford Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Watford"
"Huntingdon Law Courts","Llysoedd Barn Huntingdon"
"Hatfield Magistrates' Court","Llys Ynadon Hatfield"
"St Albans Crown Court","Llys y Goron St Albans"
"St Albans Magistrates' Court","Llys Ynadon St Albans"
"Luton Crown Court","Llys y Goron Luton"
"Upper Tribunal (Immigration and Asylum) Chamber Statutory Appeal Daily Hearing List","Uwch Dribiwnlys (Siambr Mewnfudo a Lloches) - Rhestr o Wrandawiadau Dyddiol - Apeliadau Statudol"
"You can use this service to get information about:

- Hearings in most Civil and Family Courts in the Southeast region
- Hearings in First Tier and Upper Tribunals (excluding SSCS, Asylum Support and Employment Tribunals)
- Single Justice Procedure cases, including TV licensing and minor traffic offences such as speeding
More courts and tribunals will become available over time.","Gallwch ddefnyddio'r gwasanaeth hwn i gael gwybodaeth am:
	Gwrandawiadau ym mwyafrif y Llysoedd Sifil a Theulu yn Ne-ddwyrain Lloegr
	Gwrandawiadau yn y Tribiwnlys Haen Gyntaf a'r Tribiwnlysoedd Uwch (gan eithrio SSCS, Cymorth Lloches a'r Tribiwnlysoedd Cyflogaeth)
	Achosion Gweithdrefn Un Ynad, yn cynnwys troseddau Trwyddedu Teledu a m'n droseddau traffig fel goryrru
Bydd mwy o lysoedd a thribiwnlysoedd ar gael gydag amser."
"Mental health hearings are held in private and unless a request has been made by the patient for a public hearing a hearing list will not be published.","Cynhelir gwrandawiadau iechyd meddwl yn breifat ac oni bai bod y claf wedi gwneud cais am wrandawiad cyhoeddus ni chaiff rhestr gwrandawiadau ei chyhoeddi."
"Asylum Support Tribunal","Tribiwnlys Cefnogi Ceiswyr Lloches"
"AST Daily list","Rhestr ddyddiol y Tribiwnlys Cefnogi Ceiswyr Lloches"
"Appellant","Apelydd"
"Appeal Reference Number","Cyfeirnod Apêl"
"Case Type","Math o achos"
"Hearing Type","Math o wrandawiad"
"Hearing Time","Amser y Gwrandawiad"
"Additional Information","Gwybodaeth ychwanegol"
"This accessibility statement applies to content published on'www.court-tribunal-hearings.service.gov.uk.","Mae'r datganiad hygyrchedd hwn yn berthnasol i gynnwys a gyhoeddir ar'www.court-tribunal-hearings.service.gov.uk."
"The court and tribunal hearings service provides a publishing platform to enable information, such as hearing lists, provided by HM Courts and Tribunals Service (HMCTS) to be shared, displayed and updated as appropriate. It will enable information to be displayed to court users, consistent with jurisdictional procedures and business rules. The service supports HMCTS commitment to open justice and the provision of transparent and consistent court and tribunal information across jurisdictions.","Mae'r gwasanaeth gwrandawiadau lysoedd a Thribiwnlysoedd yn darparu llwyfan cyhoeddi i alluogi i wybodaeth, megis rhestrau gwrandawiadau, a ddarperir gan Gwasanaeth Llysoedd a Thribiwnlysoedd EM (GLlTEF) gael ei rhannu, ei harddangos a'i diweddaru fel y bo'n briodol. Bydd yn galluogi arddangos gwybodaeth i ddefnyddwyr y llysoedd, yn gyson â gweithdrefnau awdurdodaethau a rheolau busnes. Mae'r gwasanaeth yn cefnogi ymrwymiad GLlTEF i gyfiawnder agored a darparu gwybodaeth dryloyw a chyson am lysoedd a thribiwnlysoedd ar draws awdurdodaethau."
"This website is run by HMCTS. We want as many people as possible to be able to use this website, so we have designed it to be accessible. For example, that means you should be able to:
	change colours, contrast levels and fonts using browser or device settings
	zoom in up to 400% without the text spilling off the screen for some of the website
	navigate most of the website using just a keyboard
	listen to most of the website using a screen reader (including the most recent versions of JAWS, NVDA and VoiceOver)","GLlTEF sy'n gyfrifol am y wefan hon. Rydym eisiau i gymaint o bobl â phosibl allu defnyddio'r wefan hon, felly rydym wedi ceisio ei gwneud mor hygyrch â phosibl. Er enghraifft, golyga hyn y dylech allu:
	newid y lliwiau, y lefelau cyferbyniad a'r ffontiau neu gosodiadau'r dyfais
	chwyddo i mewn hyd at 400% heb i'r testun ddiflannu oddi ar y sgrin ar gyfer rhywfaint o'r wefan
	mynd drwy'r rhan fwyaf o'r wefan gan ddefnyddio bysellfwrdd yn unig
	gwrando ar y rhan fwyaf o'r wefan gan ddefnyddio darllenydd sgrin (gan gynnwys fersiynau diweddaraf JAWS, NVDA a VoiceOver)"
"We've also made the website text as simple as possible to understand.","Rydym hefyd wedi sicrhau ein bod wedi defnyddio iaith syml ar y wefan."
"AbilityNet(opens in a new window) has advice on making your device easier to use if you have a disability.","Mae gan AbilityNet(mae'n agor mewn ffenestr newydd) gyngor ar wneud eich dyfais yn haws i'w defnyddio os oes gennych anabledd."
"Whilst most hearing lists within the service are accessible, some hearing lists are only presented and viewable as a PDF or word document (flat files). These can be difficult for screen reader users to navigate as the content is untagged, untitled and the tables are not marked up to enable screen reader users to navigate and identify the information correctly.","Er bod y rhan fwyaf o restrau gwrandawiadau o fewn y gwasanaeth yn hygyrch, dim ond fel dogfen PDF neu Word (ffeiliau fflat) y gellir gweld a chyflwyno rhai rhestrau gwrandawiadau. Gall y rhain fod yn anodd i ddefnyddwyr darllenwyr sgrin fynd drwyddynt gan fod y cynnwys heb ei dagio, heb ei deitlo ac nid yw'r tablau wedi'u marcio i alluogi defnyddwyr darllenwyr sgrin i fynd drwy'r ddogfen a nodi'r wybodaeth yn gywir."
"The availability of these hearing lists in a flat file only format is under continuous review and in the future may be published as fully accessible lists. As a contingency lists may be published as a flat file should integrations from source systems fail.","Mae argaeledd y rhestrau gwrandawiadau hyn mewn fformat ffeil fflat yn unig yn cael eu hadolygu'n barhaus ac yn y dyfodol gellir eu cyhoeddi fel rhestrau cwbl hygyrch. Gellir cyhoeddi rhestrau wrth gefn fel ffeil gwastad pe bai integreiddiadau o systemau ffynhonnell yn methu."
"We provide a text relay service for people who are D/deaf, hearing impaired or have a speech impediment.
Our courts and tribunals have audio induction loops, or if you contact us before your visit we can arrange a British Sign Language (BSL) interpreter.
Find out how to contact us by using the contact details below.
If you need information on this website in a different format like accessible PDF, large print, easy read or braille, please contact:","Rydym yn darparu gwasanaeth cyfnewid negeseuon testun ar gyfer pobl fyddar, pobl sydd â nam ar eu clyw a phobl sydd â nam ar eu lleferydd.
Mae yna ddolenni sain yn ein llysoedd a'n tribiwnlysoedd, neu os byddwch yn cysylltu â ni cyn eich ymweliad, gallwn drefnu cyfieithydd Iaith Arwyddion Prydain (BSL) ar eich cyfer.
Gwybodaeth am sut i gysylltu â ni gan ddefnyddio'r manylion cyswllt isod.
Os oes angen gwybodaeth arnoch ar y wefan hon mewn fformat gwahanol fel PDF hygyrch, print bras, hawdd ei darllen neu Braille;"
"Telephone: 0300 303 0656
Monday to Friday 8am to 5pm
We'll consider your request and get back to you within 10 working days.","Rhif ffôn: 0300 303 0656
Dydd Llun i dydd Gwener 8am - 5.00pm
Byddwn yn ystyried eich cais ac yn ymateb o fewn 10 diwrnod gwaith."
"We're always looking to improve the accessibility of this website. If you find any problems not listed on this page or think we're not meeting accessibility requirements, contact","Rydym wastad yn ceisio gwella hygyrchedd y wefan hon. Os byddwch yn cael unrhyw broblemau nad ydynt wedi'u cynnwys ar y dudalen hon, neu'n credu nad ydym yn bodloni'r gofynion o ran hygyrchedd, cysylltwch ag:"
"Email","E-bost"
"The Equality and Human Rights Commission (EHRC) is responsible for enforcing the Public Sector Bodies (Websites and Mobile Applications) (No. 2) Accessibility Regulations 2018 (the accessibility regulations). If you're not happy with how we respond to your complaint, contact the Equality Advisory and Support Service (EASS) (opens in a new window).","Y Comisiwn Cydraddoldeb a Hawliau Dynol (EHRC) sy'n gyfrifol am orfodi Rheoliadau Hygyrchedd Cyrff y Sector Cyhoeddus (Gwefannau a Rhaglenni Symudol) (Rhif 2) 2018 (y rheoliadau hygyrchedd). Os nad ydych chi'n fodlon gyda'r ffordd rydym yn ymateb i'ch cwyn, cysylltwch 'r Gwasanaeth Cynghori a Chymorth Cydraddoldeb (EASS) (mae'n agor mewn ffenestr newydd)."
"HMCTS is committed to making its websites accessible, in accordance with the Public Sector Bodies (Websites and Mobile Applications) (No. 2) Accessibility Regulations 2018.","Mae GLlTEF wedi ymrwymo i sicrhau bod ei wefannau yn hygyrch, a hynny yn unol â Rheoliadau Hygyrchedd Cyrff y Sector Cyhoeddus (Gwefannau a Rhaglenni Symudol) (Rhif 2) 2018."
"This website is partially compliant with the Web Content Accessibility Guidelines version 2.2 AA standard, due to the non-compliances listed below.","Mae'r wefan hon yn cydymffurfio'n rhannol â safon AA Canllawiau Hygyrchedd Cynnwys Gwe fersiwn 2.2 a hynny oherwydd yr enghreifftiau o beidio â chydymffurfio a restrir isod."
"The content listed below is non-accessible for the following reasons.","Mae'r cynnwys isod yn anhygyrch am y rhesymau canlynol."
"Some hearing lists presented within the service are presented and viewable only as PDF or word document (flat files). This means that assistive technology users may struggle to review and understand the PDFs. This fails WCAG 2.2 success criterion 1.3.1 (info and relationships).
Page titles are not specific to the content on the screen and do not have enough information. This could be confusing for screen reader users as they wouldn't be aware of what page they are on when they land on it. This fails WCAG 2.2 success criterion 2.4.2 (page titled). We plan to resolve this issue by the end of April 2025.","Mae rhai rhestrau gwrandawiadau a gyflwynir o fewn y gwasanaeth wedi eu cyflwyno ac i'w gweld fel dogfen PDF neu Word (ffeiliau fflat) yn unig. Mae hyn yn golygu gall defnyddwyr technoleg gynorthwyol gael trafferth wrth adolygu a deall y PDFs. Mae hyn yn methu â bodloni WCAG 2.2 maen prawf llwyddiant 1.3.1 (gwybodaeth a pherthnasau).
Nid yw teitlau tudalennau yn benodol i'r cynnwys ar y sgrin ac nid oes ganddynt ddigon o wybodaeth. Gallai hyn fod yn ddryslyd i ddefnyddwyr darllenydd sgrin gan na fyddent yn ymwybodol o ba dudalen y maent arni pan fyddant yn glanio arni. Nid yw hyn yn bodloni WCAG 2.2 maen prawf llwyddiant 2.4.2 (tudalen gyda theitl): Rydym yn bwriadu datrys y mater hwn erbyn diwedd mis Ebrill 2025."
"We have actively engaged with jurisdictions across HMCTS to make sure that source systems produce accessible documents for publishing. We have asked services to review future enhancements when producing documents to make them fully accessible.
We will also continually run automated accessibility testing as part of our development practices.
Progress will be reviewed on an ongoing basis, with the continuation of internal and external audits.","Rydym wedi ymgysylltu'n weithredol ag awdurdodaethau ar draws GLlTEF i sicrhau bod systemau ffynhonnell yn cynhyrchu dogfennau hygyrch i'w cyhoeddi. Rydym wedi gofyn i wasanaethau adolygu gwelliannau yn y dyfodol wrth gynhyrchu dogfennau i'w gwneud yn gwbl hygyrch.
Byddwn yn cynnal profion hygyrchedd awtomataidd yn barhaus fel rhan o'n gweithgarwch datblygu.
Bydd cynnydd yn cael ei adolygu'n barhaus, gyda pharhad archwiliadau mewnol ac allanol."
"This statement was prepared on 8 September 2023. It was last reviewed on 05 March 2025.
This website was last audited by the HMCTS accessibility testing team in the Testing Centre of Excellence on 18 November 2024 across a range of assistive technologies and automated tools.","Paratowyd y datganiad hwn ar 8 Medi 2023. Fe'i hadolygwyd ddiwethaf ar 05 Update 2025.
Cafodd y wefan hon ei harchwilio ddiwethaf gan d'm profi hygyrchedd GLlTEF yn y Ganolfan Ragoriaeth mewn Profi ar 18 Tachwedd 2024 ar draws ystod o dechnolegau cynorthwyol ac offer awtomataidd."
"Bournemouth Combined Court","Llys Cyfun Bournemouth"
"What do you want to view from single justice procedure?","Beth ydych chi eisiau edrych arno o'r achos gweithdrefn un ynad?"
"Find a single justice procedure case","Dod o hyd i achos gweithdrefn un ynad"
"Select from an A-Z list of courts or tribunals","Dewiswch o restr A-Z o lysoedd neu dribiwnlysoedd"
"What court or tribunal are you interested in?","Pa lys neu dribiwnlys sydd o ddiddordeb i chi?"
"What do you want to do?","Beth yr ydych eisiau ei wneud?"
"Select application to access","Dewiswch gais i gael mynediad ato"
"Manage media account requests","Rheoli ceisiadau o gyfrifon y cyfryngau"
"Excel file upload","Uwchlwytho ffeil Excel"
"London Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Llundain"
"London Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Llundain"
"Midlands Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Canolbarth Lloegr"
"Midlands Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Canolbarth Lloegr"
"North East Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Gogledd Ddwyrain Lloegr"
"North East Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Gogledd Ddwyrain Lloegr"
"North West Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Gogledd Orllewin Lloegr"
"North West Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Gogledd Orllewin Lloegr"
"South East Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant De Ddwyrain Lloegr"
"South East Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant De Ddwyrain Lloegr"
"Scotland Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Yr Alban"
"Scotland Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Yr Alban"
"Wales and South East","Cymru a De Ddwyrain Lloegr"
"Wales and South West Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Cymru a De Orllewin Lloegr"
"Wales and South West Social Security and Child Support Tribunal Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Cymru a De Orllewin Lloegr"
"Civil court","Llys Sifil"
"Criminal court","Llys Troseddol"
"Family court","Llys Teulu"
"Court","Llys"
"Magistrate court","Llys Ynadon"
"County court","Llys Sirol"
"Combined court","Llysoedd Cyfun"
"Crown court","Llys y Goron"
"Civil and Family courts","Llysoedd Sifil a Theulu"
"Type of Family court","Math o Llys Teulu"
"Type of Criminal court","Math o Llys Troseddol"
"Type of civil court","Math o Llys Sifil"
"Type of Tribunal","Math o Dribiwnlys"
"Court of Appeal","Y Llys Apêl"
"High Court","Yr Uchel Lys"
"Business and Property Courts Rolls Building","Llysoedd Busnes ac Eiddo â Adeilad Rolls"
"Royal Court of Justice","Llys Barn Brenhinol"
"Mayor's & City of London Court","Llys y Maer a Dinas Llundain"
"Royal Courts of Justice Group","Gr?p y Llysoedd Barn Brenhinol"
"These lists are subject to change until 4:30pm. Any alterations after this time will be telephoned or emailed direct to the parties or their legal representatives. If you do not see a list published for the court you are looking for, it means there are no hearings scheduled.","Mae'r rhestrau hyn yn destun newid tan 4:30pm. Os bydd unrhyw newidiadau ar 'l yr amser hwn, byddwn yn ffonio'r part'on neu yn anfon e-bost yn uniongyrchol at y part'on neu eu cynrychiolwyr cyfreithiol. Os nad ydych chi'n gweld rhestr wedi'i chyhoeddi ar gyfer y llys rydych chi'n chwilio amdano, mae'n golygu nad oes unrhyw wrandawiadau wedi'u trefnu."
"Court or tribunal type","Math o lys neu dribiwnlys"
"London Administrative Court Daily Cause List","Rhestr Achosion Dyddiol Llys Gweinyddol Llundain"
"Birmingham Administrative Court Daily Cause List","Rhestr Achosion Dyddiol Llys Gweinyddol Birmingham"
"Bristol and Cardiff Administrative Court Daily Cause List","Rhestr Achosion Dyddiol Llys Gweinyddol Bryste a Chaerdydd"
"Manchester Administrative Court Daily Cause List","Rhestr Achosion Dyddiol Llys Gweinyddol Manceinion"
"Leeds Administrative Court Daily Cause List","Rhestr Achosion Dyddiol Llys Gweinyddol Leeds"
"Planning Court Daily Cause List","Rhestr Achosion Dyddiol y Llys Cynllunio"
"Court of Appeal (Civil Division) Daily Cause List","Rhestr Achosion Dyddiol y Llys Ap'l (Adran Sifil)"
"Court of Appeal (Criminal Division) Daily Cause List","Rhestr Achosion Dyddiol y Llys Ap'l (Adran Troseddol)"
"Family Division of the High Court Daily Cause List","Rhestr Achosion Dyddiol Adran Deulu yr Uchel Lys"
"King's Bench Division Daily Cause List","Rhestr Achosion Dyddiol Adran Mainc y Brenin"
"King's Bench Masters Daily Cause List","Rhestr Achosion Dyddiol Meistri Mainc y Brenin"
"Senior Courts Costs Office Daily Cause List","Rhestr Achosion Dyddiol Swyddfa Costau'r Uwchlysoedd"
"Civil Daily Cause List","Rhestr Achosion Dyddiol y Llys Sifil"
"County Court at Central London Civil Daily Cause List","Rhestr Achosion Dyddiol Sifil yn y Llys Sirol yng Nghanol Llundain"
"Daily Cause List","Rhestr Achosion Dyddiol"
"Mayor & City Civil Daily Cause List","Rhestr Achosion Dyddiol Llys Sifil y Maer a'r Ddinas"
"Admiralty Court (King's Bench Division) Daily Cause List","Rhestr Achosion Dyddiol Llys y Morlys (Adran Mainc y Brenin)"
"Business (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol y Llys Busnes (Adran Siawnsri)"
"Chancery Appeals (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Apeliadau Siawnsri (Adran Siawnsri)"
"Commercial Court (King's Bench Division) Daily Cause List","Rhestr Achosion Dyddiol y Llys Masnach (Adran Mainc y Brenin)"
"Companies Winding Up (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Dirwyn Cwmn'au i Ben (Adran Siawnsri)"
"Competition (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Cystadleuaeth (Adran Siawnsri)"
"Financial (Chancery Division/King's Bench Division/Commercial Court) Daily Cause List","Rhestr Achosion Dyddiol Ariannol (Adran Siawnsri /Adran Mainc y Brenin/Llys Masnach)"
"Insolvency & Companies Court (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Llys Cwmn'au ac achosion Ansolfedd (Adran Siawnsri)"
"Intellectual Property and Enterprise Court Daily Cause List","Rhestr Achosion Dyddiol Llys Mentrau Eiddo Deallusol"
"Intellectual Property (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Eiddo Deallusol (Adran Siawnsri)"
"Interim Applications (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Ceisiadau Interim (Adran Siawnsri)"
"London Circuit Commercial Court (King's Bench Division) Daily Cause List","Rhestr Achosion Dyddiol Llys Masnachol Cylchdaith Llundain (Adran Mainc y Brenin)"
"Patents Court (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Llys Patentau (Adran Siawnsri)"
"Pensions (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Pensiynau (Adran Siawnsri)"
"Property, Trusts and Probate (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Eiddo, Ymddiriedolaethau a Phrofiant (Adran Siawnsri)"
"Revenue (Chancery Division) Daily Cause List","Rhestr Achosion Dyddiol Refeniw (Adran Siawnsri)"
"Technology and Construction Court (King's Bench Division) Daily Cause List","Rhestr Achosion Dyddiol Llys Technoleg ac Adeiladu (Adran Mainc y Brenin)"
"Remote hearings before a High Court Judge","Gwrandawiadau o bell gerbron Barnwr yr Uchel Lys"
"Remote hearings before the Admiralty Registrar","Gwrandawiadau o bell gerbron Cofrestrydd y Morlys"
"Remote judgments","Dyfarniadau o bell"
"Remote hearings before a Chancery Master","Gwrandawiadau o bell gerbron Meistr y Siawnsri"
"Company Insolvency Pro Bono Scheme","Cynllun Pro Bono Ansolfedd Cwmni"
"Remote hearings before a Judge of the Chancery Division","Gwrandawiadau o bell gerbron Barnwr yr Adran Siawnsri"
"Remote hearings before a Judge of the Commercial Court","Gwrandawiadau o bell gerbron Barnwr y Llys Masnach"
"Remote hearings before an Insolvency and Companies Court Judge","Gwrandawiadau o bell gerbron Barnwr y Llys Cwmn'au ac achosion Ansolfedd"
"Remote hearings in the London Circuit Commercial Court","Gwrandawiadau o bell yn Llys Masnach Cylchdaith Llundain"
"Patents Court Guide","Canllaw Llys Patentau"
"The hearing will be available to representatives of the media upon request. It will be organised and conducted using MS Teams (unless otherwise stated). Any media representative (or any other member of the public) wishing to witness the hearing will need to do so over the internet and provide an email address at which to be sent an appropriate link for access. Please contact comct.listing@justice.gov.uk.","Bydd y gwrandawiad ar gael i gynrychiolwyr y cyfryngau ar gais. Bydd yn cael ei drefnu a'i gynnal gan ddefnyddio MS Teams (oni nodir yn wahanol). Bydd angen i unrhyw gynrychiolydd y cyfryngau (neu unrhyw aelod arall o'r cyhoedd) sy'n dymuno gweld y gwrandawiad wneud hynny dros y rhyngrwyd a darparu cyfeiriad e-bost i gael dolen briodol ar gyfer cael mynediad. Cysylltwch â comct.listing@justice.gov.uk."
"Remote hearing via MS Teams. For details on accessing the hearing, please contact admiralty.registrar@justice.gov.uk. Any party who attends the hearing in person at the Rolls Building should contact a member of staff in the List Office who will then connect them to the remote hearings.","Gwrandawiad o bell trwy MS Teams. I gael manylion am gael mynediad i'r gwrandawiad, cysylltwch â admiralty.registrar@justice.gov.uk. Dylai unrhyw barti sy'n mynychu'r gwrandawiad wyneb yn wyneb yn yr Adeilad Rolls gysylltu ag aelod o staff yn Swyddfa'r Rhestrau a fydd wedyn yn eu cysylltu 'r gwrandawiadau o bell."
"Remote hand-down: This judgment will be handed down remotely by circulation to the parties or their representatives by email and release to The National Archives. A copy of the judgment in final form as handed down should be available on The National Archives website shortly thereafter. Members of the media can obtain a copy on request by email to the Judicial Office press.enquiries@judiciary.uk","Traddodi o Bell: Bydd y dyfarniad hwn yn cael ei draddodi o bell trwy gylchrediad i'r part'on neu eu cynrychiolwyr trwy e-bost a'i ryddhau i'r Archifau Cenedlaethol. Dylai copi o'r dyfarniad ar ffurf derfynol fel y'i rhoddwyd fod ar gael ar wefan yr Archifau Cenedlaethol yn fuan wedyn. Gall aelodau'r cyfryngau gael copi ar gais trwy e-bost i'r Swyddfa Farnwrol press.enquiries@judiciary.uk"
"If a representative of the media or member of the public wishes to attend the hearing they should contact the listing office chanceryjudgeslisting@justice.gov.uk who will put them in touch with the relevant person.","Os yw cynrychiolydd o'r cyfryngau neu aelod o'r cyhoedd yn dymuno mynychu'r gwrandawiad, dylent gysylltu 'r swyddfa restru yn chanceryjudgeslisting@justice.gov.uk a fydd yn eu rhoi mewn cysylltiad 'r unigolyn perthnasol."
"If a representative of the media or member of the public wishes to attend the remote hearing they should contact chancery.mastersappointments@justice.gov.uk who will put them in touch with the relevant person.","Os yw cynrychiolydd o'r cyfryngau neu aelod o'r cyhoedd yn dymuno mynychu'r gwrandawiad o bell, dylent gysylltu â chancery.mastersappointments@justice.gov.uk a fydd yn eu rhoi mewn cysylltiad 'r unigolyn perthnasol."
"The Company Insolvency Pro Bono Scheme provides free legal advice and/or representation in court on Wednesdays. If you have a case listed in the winding up court, please come to Consultation Room 17 on the 2nd Floor of the Rolls Building to speak with a barrister on Wednesday morning. You can also email in advance on admin@companyinsolvencyscheme.com.","Mae'r Cynllun Pro Bono Ansolfedd Cwmn'au yn darparu cyngor cyfreithiol a / neu gynrychiolaeth am ddim yn y llys ar ddydd Mercher. Os oes gennych achos wedi'i restru yn y llys dirwyn i ben, dewch i Ystafell Ymgynghori 17 ar 2il Lawr Adeilad y Rolls i siarad â bargyfreithiwr fore Mercher. Gallwch hefyd anfon e-bost at  admin@companyinsolvencyscheme.com ymlaen llaw."
"Parties should contact the clerk to the Interim Judge, *******, *****.******@justice.gov.uk as early as possible.","Dylai part'on gysylltu â chlerc y Barnwr Interim, *******, *****.******@justice.gov.uk cyn gynted â phosibl."
